id;setup;text;perceived;real;BLEU;words
432;style;ai;900;1051;nan;85
432;pe;charlotte;900;1111;30.80;85
432;scratch;garfield;600;659;nan;81
430;style;ai;600;617;nan;85
430;scratch;charlotte;900;1073;nan;85
430;pe;garfield;1200;466;12.64;81
429;pe;ai;360;433;48.67;85
429;scratch;charlotte;900;1761;nan;85
429;style;garfield;300;743;nan;81
428;scratch;ai;600;625;nan;85
428;style;charlotte;600;638;nan;85
428;pe;garfield;420;420;38.62;81
427;scratch;ai;600;955;nan;85
427;pe;charlotte;600;958;26.98;85
427;style;garfield;600;981;nan;81
425;pe;ai;1200;1993;37.50;85
425;style;charlotte;1200;1911;nan;85
425;scratch;garfield;1200;1436;nan;81
424;style;ai;1200;2063;nan;85
424;scratch;charlotte;600;1333;nan;85
424;pe;garfield;300;392;58.03;81
423;pe;ai;900;1562;33.10;85
423;scratch;charlotte;900;2500;nan;85
423;style;garfield;900;1445;nan;81
421;scratch;ai;300;860;nan;85
421;pe;charlotte;600;927;26.47;85
421;style;garfield;780;845;nan;81